trial_id,session_id,trial_index,global_trial_name,score,completed,counterbalance,rg_outcome,num_frames,ground_truth_side
12,1,0,E_C1_NO,76.53206650831353,1,0,green,421,L
13,1,1,E_H1_NO,95.26881720430107,1,0,red,372,R
14,1,2,E_C10_O,71.55172413793103,1,0,green,580,L
15,1,3,E_D4_O,87.48329621380846,1,0,green,449,L
16,1,4,E_H1_O,82.90322580645162,1,0,green,372,L
17,1,5,E_D2_O,79.71428571428572,1,0,green,350,L
18,1,6,E_C1_O,43.27790973871734,1,0,red,421,R
19,1,7,E_B1_O,108.08510638297872,1,0,green,235,L
20,1,8,E_C8_O,42.0159151193634,1,0,green,377,L
21,1,9,E_D3_O,63.288590604026844,1,0,red,298,R
22,1,10,E_C9_O,58.60045146726862,1,0,green,443,L
23,1,11,E_A4_O,52.9700272479564,1,0,red,367,R
24,1,12,E_B4_O,105.86956521739131,1,0,red,368,R
25,1,13,E_C5a_O,81.52019002375297,1,0,green,421,L
26,1,14,E_A3_O,63.333333333333336,1,0,green,270,L
27,1,15,E_C7_O,96.92307692307693,1,0,green,364,L
28,1,16,E_C5b_O,76.05700712589073,1,0,green,421,L
29,1,17,E_C6a_O,54.33476394849785,1,0,red,466,R
30,1,18,E_C4a_O,61.62162162162162,1,0,green,370,L
31,1,19,E_B3_O,47.02702702702703,1,0,green,370,L
32,1,20,E_D4_NO,101.51447661469933,1,0,green,449,L
33,1,21,E_C9_NO,103.06997742663657,1,0,green,443,L
34,1,22,E_A1_O,-27.674418604651166,1,0,red,258,R
35,1,23,E_H2_O,55.278514588859416,1,0,red,377,R
36,1,24,E_C2_O,83.83561643835617,1,0,green,365,L
37,1,25,E_C5_O,68.93111638954869,1,0,red,421,R
38,1,26,E_A3_NO,76.2962962962963,1,0,red,270,R
39,1,27,E_H2_NO,99.3103448275862,1,0,green,377,L
40,1,28,E_D1_O,53.18181818181819,1,0,green,220,L
41,1,29,E_C6h_O,49.10958904109589,1,0,red,584,R
42,1,30,E_C6_O,37.38197424892704,1,0,green,466,L
43,1,31,E_B2_O,52.926829268292686,1,0,red,246,R
44,1,32,E_B4_NO,52.608695652173914,1,0,green,368,L
45,1,33,E_C3_O,101.30311614730878,1,0,green,353,L
46,1,34,E_C4_O,80.8108108108108,1,0,green,370,L
47,1,35,E_C4b_O,53.78378378378378,1,0,green,370,L
48,1,36,E_A2_O,104.68468468468468,1,0,green,333,L
60,2,0,E_B1_O,-2.5531914893617014,1,0,green,235,L
61,2,1,E_C6_O,101.11587982832617,1,0,green,466,L
