trial_id,session_id,prolific_pid,global_trial_name,frame,f_pressed,j_pressed,relative_time_ms,counterbalance,rg_outcome,ground_truth_side,response_label,response_numeric,is_correct
99,6,test_1771917340168_pkshpv3,E_H2_O,0,0,0,0.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,1,0,0,40.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,2,0,0,80.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,3,0,0,120.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,4,0,0,160.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,5,0,0,200.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,6,0,0,240.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,7,0,0,280.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,8,0,0,320.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,9,0,0,360.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,10,0,0,400.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,11,0,0,440.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,12,0,0,480.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,13,0,0,520.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,14,0,0,560.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,15,0,0,601.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,16,0,0,640.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,17,0,0,680.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,18,0,0,721.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,19,0,0,761.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,20,0,0,801.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,21,0,0,840.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,22,0,0,881.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,23,0,0,921.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,24,0,0,960.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,25,0,0,1000.9999999999999,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,26,0,0,1041.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,27,0,0,1081.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,28,0,0,1121.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,29,0,0,1161.0,0,red,R,?,0,NA
99,6,test_1771917340168_pkshpv3,E_H2_O,30,0,0,1201.0,0,red,R,?,0,NA
