trial_id,session_id,trial_index,global_trial_name,score,completed,counterbalance,rg_outcome,num_frames,ground_truth_side
99,6,0,E_H2_O,88.96551724137932,1,0,red,377,R
100,6,1,E_C3_O,41.813031161473084,1,0,green,353,L
101,6,2,E_C6a_O,117.85407725321889,1,0,red,466,R
102,6,3,E_A3_NO,-74.07407407407408,1,0,red,270,R
103,6,4,E_C10_O,24.703832752613245,1,0,green,580,L
104,6,5,E_C5b_O,73.91923990498813,1,0,green,421,L
105,6,6,E_C6c_O,117.85407725321889,1,0,,,
106,6,7,E_C4b_O,-78.64864864864865,1,0,green,370,L
107,6,8,E_H2_NO,119.46949602122017,1,0,green,377,L
108,6,9,E_B1_O,-71.06382978723404,1,0,green,235,L
109,6,10,E_H1_O,None,0,0,green,372,L
110,6,11,E_B4_NO,-37.608695652173914,1,0,green,368,L
111,6,12,E_C9_O,115.25959367945825,1,0,green,443,L
112,6,13,E_C1_NO,27.600950118764843,1,0,green,421,L
113,6,14,E_A2_O,98.67867867867868,1,0,green,333,L
114,6,15,E_D1_O,84.54545454545453,1,0,green,220,L
115,6,16,E_A3_O,-77.03703703703704,1,0,green,270,L
116,6,17,E_D2_O,-32.28571428571428,1,0,green,350,L
117,6,18,E_D4_O,21.11358574610245,1,0,green,449,L
118,6,19,E_C1_O,40.190023752969125,1,0,red,421,R
119,6,20,E_C6_O,None,0,0,green,466,L
120,6,21,E_B2_O,-75.1219512195122,1,0,red,246,R
121,6,22,E_C7_O,18.35164835164835,1,0,green,364,L
122,6,23,E_C4a_O,98.91891891891892,1,0,green,370,L
123,6,24,E_C2_O,110.95890410958904,1,0,green,365,L
124,6,25,E_D3_O,17.98657718120805,1,0,red,298,R
125,6,26,E_C9_NO,3.5214446952595964,1,0,green,443,L
126,6,27,E_B3_O,-74.76309226932669,1,0,green,370,L
127,6,28,E_C5_O,115.24940617577197,1,0,red,421,R
128,6,29,E_D4_NO,47.39420935412027,1,0,green,449,L
129,6,30,E_C8_O,None,0,0,green,377,L
130,6,31,E_C5a_O,-3.0403800475059377,1,0,green,421,L
131,6,32,E_A1_O,-64.10852713178295,1,0,red,258,R
132,6,33,E_C4_O,41.62162162162162,1,0,green,370,L
133,6,34,E_A4_O,-75.91280653950953,1,0,red,367,R
134,6,35,E_H1_NO,108.97849462365592,1,0,red,372,R
135,6,36,E_B4_O,-78.36956521739131,1,0,red,368,R
165,10,0,E_A3_NO,-26.29629629629629,1,0,red,270,R
166,10,1,E_C3_O,-76.88385269121812,1,0,green,353,L
167,10,2,E_C10_O,20.68965517241379,1,0,green,580,L
168,10,3,E_C1_O,-53.159144893111645,1,0,red,421,R
169,10,4,E_B4_O,-44.402173913043484,1,0,red,368,R
170,10,5,E_C6_O,118.28326180257511,1,0,green,466,L
171,10,6,E_H1_O,117.31182795698925,1,0,green,372,L
172,10,7,E_C8_O,0.3713527851458842,1,0,green,377,L
173,10,8,E_D1_O,-65.0,1,0,green,220,L
174,10,9,E_C4a_O,92.97297297297297,1,0,green,370,L
175,10,10,E_D3_O,-64.22818791946308,1,0,red,298,R
176,10,11,E_C6a_O,100.68669527896995,1,0,red,466,R
177,10,12,E_C9_O,111.19638826185101,1,0,green,443,L
178,10,13,E_A1_O,-70.31007751937985,1,0,red,258,R
179,10,14,E_A2_O,-74.8948948948949,1,0,green,333,L
180,10,15,E_D4_NO,77.23830734966593,1,0,green,449,L
181,10,16,E_D4_O,-61.959910913140305,1,0,green,449,L
182,10,17,E_D2_O,-74.85714285714286,1,0,green,350,L
183,10,18,E_B1_O,-73.19148936170212,1,0,green,235,L
184,10,19,E_C5a_O,119.04988123515439,1,0,green,421,L
185,10,20,E_C9_NO,47.313769751692995,1,0,green,443,L
186,10,21,E_C4b_O,98.10810810810811,1,0,green,370,L
187,10,22,E_C7_O,46.92307692307692,1,0,green,364,L
188,10,23,E_H2_O,120.0,1,0,red,377,R
189,10,24,E_C5b_O,120.0,1,0,green,421,L
190,10,25,E_B2_O,-71.46341463414635,1,0,red,246,R
191,10,26,E_A3_O,-75.92592592592592,1,0,green,270,L
192,10,27,E_B3_O,112.97297297297298,1,0,green,370,L
193,10,28,E_B4_NO,-71.03260869565217,1,0,green,368,L
194,10,29,E_C1_NO,-77.38717339667458,1,0,green,421,L
195,10,30,E_C2_O,15.068493150684935,1,0,green,365,L
196,10,31,E_A4_O,-80.0,1,0,red,367,R
197,10,32,E_C4_O,-56.21621621621621,1,0,green,370,L
198,10,33,E_C6h_O,44.14383561643836,1,0,red,584,R
199,10,34,E_H1_NO,120.0,1,0,red,372,R
200,10,35,E_C5_O,114.77434679334917,1,0,red,421,R
201,10,36,E_H2_NO,120.0,1,0,green,377,L
